FechaElección ;Ganador;Inflación12Meses;InflaciónMensual;Ticker;Sector;Retorno;;
6/11/1984;R;4.10%;0%;NVDA;Information Technology;;;
6/11/1984;R;4.10%;0%;AAPL;Information Technology;0.060610878;;
6/11/1984;R;4.10%;0%;MSFT;Information Technology;;;
6/11/1984;R;4.10%;0%;GOOG;Information Technology;;;
6/11/1984;R;4.10%;0%;GOOGL;Information Technology;;;
6/11/1984;R;4.10%;0%;AMZN;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;META;Information Technology;;;
6/11/1984;R;4.10%;0%;TSLA;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;BRK-B;Financials;;;
6/11/1984;R;4.10%;0%;AVGO;Information Technology;;;
6/11/1984;R;4.10%;0%;LLY;Health Care;0.005988425;;
6/11/1984;R;4.10%;0%;WMT;Consumer Staples;0.020528385;;
6/11/1984;R;4.10%;0%;JPM;Financials;0.011857209;;
6/11/1984;R;4.10%;0%;V;Information Technology;;;
6/11/1984;R;4.10%;0%;UNH;Health Care;0;;
6/11/1984;R;4.10%;0%;XOM;Energy;0.016996773;;
6/11/1984;R;4.10%;0%;ORCL;Information Technology;;;
6/11/1984;R;4.10%;0%;MA;Information Technology;;;
6/11/1984;R;4.10%;0%;COST;Consumer Staples;;;
6/11/1984;R;4.10%;0%;HD;Consumer Discretionary;-0.009432974;;
6/11/1984;R;4.10%;0%;PG;Consumer Staples;0.019230366;;
6/11/1984;R;4.10%;0%;JNJ;Health Care;0.028673814;;
6/11/1984;R;4.10%;0%;ABBV;Health Care;;;
6/11/1984;R;4.10%;0%;BAC;Financials;0.022058331;;
6/11/1984;R;4.10%;0%;NFLX;Information Technology;;;
6/11/1984;R;4.10%;0%;CRM;Information Technology;;;
6/11/1984;R;4.10%;0%;CVX;Energy;0.015151828;;
6/11/1984;R;4.10%;0%;KO;Consumer Staples;0.003845933;;
6/11/1984;R;4.10%;0%;TMUS;Information Technology;;;
6/11/1984;R;4.10%;0%;MRK;Health Care;0.005633954;;
6/11/1984;R;4.10%;0%;AMD;Information Technology;0.037037037;;
6/11/1984;R;4.10%;0%;WFC;Financials;0.020201696;;
6/11/1984;R;4.10%;0%;CSCO;Information Technology;;;
6/11/1984;R;4.10%;0%;PEP;Consumer Staples;0.008546707;;
6/11/1984;R;4.10%;0%;ACN;Information Technology;;;
6/11/1984;R;4.10%;0%;LIN;Industrials;;;
6/11/1984;R;4.10%;0%;ADBE;Information Technology;;;
6/11/1984;R;4.10%;0%;BX;Information Technology;;;
6/11/1984;R;4.10%;0%;MCD;Consumer Discretionary;0.01418483;;
6/11/1984;R;4.10%;0%;TMO;Health Care;0.013985915;;
6/11/1984;R;4.10%;0%;NOW;Information Technology;;;
6/11/1984;R;4.10%;0%;AXP;Financials;-0.006734254;;
6/11/1984;R;4.10%;0%;ABT;Health Care;0.030029621;;
6/11/1984;R;4.10%;0%;TXN;Information Technology;0.01311761;;
6/11/1984;R;4.10%;0%;GE;Industrials;0.01518407;;
6/11/1984;R;4.10%;0%;IBM;Information Technology;0.005916714;;
6/11/1984;R;4.10%;0%;PM;Consumer Staples;;;
6/11/1984;R;4.10%;0%;INTU;Information Technology;;;
6/11/1984;R;4.10%;0%;ISRG;Health Care;;;
6/11/1984;R;4.10%;0%;CAT;Industrials;0.01908397;;
6/11/1984;R;4.10%;0%;QCOM;Information Technology;;;
6/11/1984;R;4.10%;0%;GS;Financials;;;
6/11/1984;R;4.10%;0%;DIS;Consumer Discretionary;0.0066225;;
6/11/1984;R;4.10%;0%;DHR;Industrials;-0.021735352;;
6/11/1984;R;4.10%;0%;AMGN;Health Care;0;;
6/11/1984;R;4.10%;0%;VZ;Telecommunications Services;0.004800313;;
6/11/1984;R;4.10%;0%;CMCSA;Consumer Discretionary;0.020136202;;
6/11/1984;R;4.10%;0%;RTX;Industrials;0.003333208;;
6/11/1984;R;4.10%;0%;BKNG;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;BLK;Financials;;;
6/11/1984;R;4.10%;0%;T;Telecommunications Services;0.011428557;;
6/11/1984;R;4.10%;0%;AMAT;Information Technology;0.0164857;;
6/11/1984;R;4.10%;0%;NEE;Utilities;0.002769563;;
6/11/1984;R;4.10%;0%;SPGI;Financials;-0.008955641;;
6/11/1984;R;4.10%;0%;LOW;Consumer Discretionary;0.015544614;;
6/11/1984;R;4.10%;0%;PGR;Financials;0.015627474;;
6/11/1984;R;4.10%;0%;UBER;Consumer Discretionary;;;
6/11/1984;R;4.10%;0%;PFE;Health Care;-0.006250331;;
6/11/1984;R;4.10%;0%;UNP;Industrials;0.01257939;;
6/11/1984;R;4.10%;0%;ETN;Industrials;-0.004773788;;
6/11/1984;R;4.10%;0%;SYK;Health Care;0;;
6/11/1984;R;4.10%;0%;HON;Industrials;-0.017301835;;
6/11/1984;R;4.10%;0%;KKR;Financials;;;
6/11/1984;R;4.10%;0%;SCHW;Financials;;;
6/11/1984;R;4.10%;0%;LMT;Industrials;-0.010638284;;
6/11/1984;R;4.10%;0%;VRTX;Health Care;;;
6/11/1984;R;4.10%;0%;PLTR;Information Technology;;;
